Radios              Ck
 0.014    -0.012 - i 0.008
 0.004     0.002 - i 0.003
 0.013     0.013 - i 0.002
 0.003    -0.001 - i 0.003
 0.017     0.015 + i 0.009
 0.008     0.001 + i 0.008
 0.015    -0.008 - i 0.013
 0.022    -0.002 - i 0.022
 0.024    -0.000 - i 0.024
 0.017    -0.007 - i 0.015
 0.007     0.005 + i 0.005
 0.013    -0.005 - i 0.012
 0.012    -0.003 - i 0.011
 0.012     0.011 - i 0.006
 0.004     0.002 + i 0.003
 0.020     0.015 + i 0.013
 0.035     0.034 + i 0.010
 0.026     0.025 + i 0.010
 0.012     0.011 + i 0.003
 0.014    -0.013 - i 0.005
 0.029    -0.020 - i 0.020
 0.023    -0.023 + i 0.001
 0.005     0.002 + i 0.005
 0.013     0.010 + i 0.009
 0.022     0.019 + i 0.010
 0.022     0.022 - i 0.000
 0.009     0.005 + i 0.007
 0.011    -0.007 + i 0.008
 0.005     0.005 - i 0.001
 0.017     0.007 + i 0.016
 0.005     0.005 - i 0.001
 0.014     0.001 + i 0.014
 0.018    -0.018 - i 0.002
 0.001     0.001 - i 0.001
 0.011    -0.006 - i 0.009
 0.013    -0.006 - i 0.012
 0.011    -0.004 - i 0.010
 0.006    -0.006 - i 0.002
 0.028    -0.008 + i 0.027
 0.031    -0.016 + i 0.026
 0.019    -0.019 + i 0.003
 0.013    -0.011 - i 0.007
 0.017    -0.001 - i 0.017
 0.018    -0.002 - i 0.018
 0.014    -0.014 + i 0.004
 0.007     0.006 - i 0.003
 0.016    -0.001 + i 0.016
 0.017    -0.001 + i 0.017
 0.012    -0.011 - i 0.005
 0.016    -0.013 + i 0.010
 0.017    -0.015 + i 0.007
 0.013     0.005 + i 0.012
 0.002    -0.001 - i 0.002
 0.008     0.008 - i 0.002
 0.019     0.011 - i 0.015
 0.008    -0.001 + i 0.008
 0.009     0.007 - i 0.006
 0.021     0.015 - i 0.015
 0.005     0.003 - i 0.003
 0.003    -0.002 + i 0.002
 0.010    -0.010 - i 0.000
 0.008    -0.008 - i 0.000
 0.013     0.002 - i 0.013
 0.009     0.009 - i 0.001
 0.006     0.000 + i 0.006
 0.010    -0.003 + i 0.009
 0.004    -0.003 - i 0.002
 0.012    -0.005 + i 0.011
 0.009    -0.000 - i 0.009
 0.013     0.002 - i 0.013
 0.022     0.017 - i 0.014
 0.017     0.006 - i 0.016
 0.003    -0.002 - i 0.003
 0.021    -0.021 + i 0.005
 0.015    -0.014 - i 0.005
 0.019    -0.008 + i 0.017
 0.016    -0.013 + i 0.010
 0.011     0.004 - i 0.010
 0.012    -0.011 - i 0.002
 0.010    -0.007 + i 0.007
 0.012    -0.011 + i 0.002
 0.010    -0.006 + i 0.008
 0.027     0.013 - i 0.023
 0.013     0.004 - i 0.013
 0.011    -0.011 - i 0.003
 0.018    -0.010 + i 0.015
 0.011    -0.010 + i 0.005
 0.013     0.000 + i 0.013
 0.003    -0.001 + i 0.003
 0.003     0.001 + i 0.003
 0.009     0.005 + i 0.008
 0.023     0.023 - i 0.003
 0.017     0.014 - i 0.009
 0.012     0.012 + i 0.003
 0.009     0.005 - i 0.008
 0.009     0.007 - i 0.005
 0.007     0.007 - i 0.001
 0.012    -0.004 - i 0.011
 0.018    -0.015 - i 0.010
 0.010    -0.009 + i 0.004
 0.014    -0.005 + i 0.013
 0.003     0.002 + i 0.003
 0.015     0.010 - i 0.011
 0.032     0.008 - i 0.031
 0.008     0.008 + i 0.002
 0.014    -0.004 + i 0.013
 0.020    -0.000 + i 0.020
 0.010    -0.001 + i 0.010
 0.016     0.003 + i 0.015
 0.009    -0.002 + i 0.009
 0.011    -0.004 + i 0.010
 0.015     0.014 - i 0.004
 0.019    -0.016 - i 0.010
 0.008    -0.004 + i 0.007
 0.006    -0.005 + i 0.003
 0.011     0.009 + i 0.006
 0.028     0.026 - i 0.012
 0.015     0.014 - i 0.004
 0.015    -0.002 - i 0.014
 0.008     0.004 + i 0.007
 0.003    -0.003 - i 0.001
 0.015    -0.015 - i 0.003
 0.014    -0.014 + i 0.004
 0.023    -0.011 - i 0.020
 0.013    -0.002 - i 0.013
 0.015     0.012 - i 0.010
 0.016    -0.009 - i 0.014
 0.009    -0.008 - i 0.005
 0.002     0.000 - i 0.002
 0.004    -0.002 + i 0.003
 0.011    -0.011 + i 0.001
 0.005    -0.002 - i 0.005
